Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,School Type,Private,Facebook,61,0.169
What social platform has influenced your online shopping most?,School Type,Private,Instagram,105,0.29
What social platform has influenced your online shopping most?,School Type,Private,Snapchat,8,0.022
What social platform has influenced your online shopping most?,School Type,Private,Twitter,20,0.055
What social platform has influenced your online shopping most?,School Type,Private,None,168,0.464
What social platform has influenced your online shopping most?,Working Class,Upper class,Facebook,70,0.23
What social platform has influenced your online shopping most?,Working Class,Upper class,Instagram,83,0.273
What social platform has influenced your online shopping most?,Working Class,Upper class,Snapchat,8,0.026
What social platform has influenced your online shopping most?,Working Class,Upper class,Twitter,13,0.043
What social platform has influenced your online shopping most?,Working Class,Upper class,None,130,0.428
What social platform has influenced your online shopping most?,Working Class,Upper-middle class,Facebook,71,0.157
What social platform has influenced your online shopping most?,Working Class,Upper-middle class,Instagram,149,0.33
What social platform has influenced your online shopping most?,Working Class,Upper-middle class,Snapchat,11,0.024
What social platform has influenced your online shopping most?,Working Class,Upper-middle class,Twitter,42,0.093
What social platform has influenced your online shopping most?,Working Class,Upper-middle class,None,178,0.395
What social platform has influenced your online shopping most?,Working Class,Middle / lower-middle class,Facebook,41,0.121
What social platform has influenced your online shopping most?,Working Class,Middle / lower-middle class,Instagram,111,0.326
What social platform has influenced your online shopping most?,Working Class,Middle / lower-middle class,Snapchat,12,0.035
What social platform has influenced your online shopping most?,Working Class,Middle / lower-middle class,Twitter,32,0.094
What social platform has influenced your online shopping most?,Working Class,Middle / lower-middle class,None,144,0.424
What social platform has influenced your online shopping most?,Working Class,Poor,Facebook,15,0.112
What social platform has influenced your online shopping most?,Working Class,Poor,Instagram,45,0.336
What social platform has influenced your online shopping most?,Working Class,Poor,Snapchat,7,0.052
What social platform has influenced your online shopping most?,Working Class,Poor,Twitter,10,0.075
What social platform has influenced your online shopping most?,Working Class,Poor,None,57,0.425
What social platform has influenced your online shopping most?,Major,ME/EE/other engineer,Facebook,40,0.183
What social platform has influenced your online shopping most?,Major,ME/EE/other engineer,Instagram,47,0.215
What social platform has influenced your online shopping most?,Major,ME/EE/other engineer,Snapchat,8,0.037
What social platform has influenced your online shopping most?,Major,ME/EE/other engineer,Twitter,14,0.064
What social platform has influenced your online shopping most?,Major,ME/EE/other engineer,None,110,0.502
What social platform has influenced your online shopping most?,School Type,No school,Facebook,4,0.125
What social platform has influenced your online shopping most?,School Type,No school,Instagram,10,0.313
What social platform has influenced your online shopping most?,School Type,No school,Snapchat,1,0.031
What social platform has influenced your online shopping most?,School Type,No school,Twitter,1,0.031
What social platform has influenced your online shopping most?,School Type,No school,None,16,0.5
What social platform has influenced your online shopping most?,School Type,Public,Facebook,117,0.153
What social platform has influenced your online shopping most?,School Type,Public,Instagram,250,0.326
What social platform has influenced your online shopping most?,School Type,Public,Snapchat,27,0.035
What social platform has influenced your online shopping most?,School Type,Public,Twitter,69,0.09
What social platform has influenced your online shopping most?,School Type,Public,None,304,0.396
What social platform has influenced your online shopping most?,Major,Business/Econ/Finance,Facebook,39,0.245
What social platform has influenced your online shopping most?,Major,Business/Econ/Finance,Instagram,35,0.22
What social platform has influenced your online shopping most?,Major,Business/Econ/Finance,Snapchat,10,0.063
What social platform has influenced your online shopping most?,Major,Business/Econ/Finance,Twitter,11,0.069
What social platform has influenced your online shopping most?,Major,Business/Econ/Finance,None,64,0.403
What social platform has influenced your online shopping most?,Major,Pre-med,Facebook,39,0.245
What social platform has influenced your online shopping most?,Major,Pre-med,Instagram,58,0.365
What social platform has influenced your online shopping most?,Major,Pre-med,Snapchat,6,0.038
What social platform has influenced your online shopping most?,Major,Pre-med,Twitter,5,0.031
What social platform has influenced your online shopping most?,Major,Pre-med,None,51,0.321
What social platform has influenced your online shopping most?,Student Loan Debt,No,Facebook,326,0.213
What social platform has influenced your online shopping most?,Student Loan Debt,No,Instagram,504,0.33
What social platform has influenced your online shopping most?,Student Loan Debt,No,Snapchat,47,0.031
What social platform has influenced your online shopping most?,Student Loan Debt,No,Twitter,99,0.065
What social platform has influenced your online shopping most?,Student Loan Debt,No,None,552,0.361
What social platform has influenced your online shopping most?,Student Loan Debt,Yes,Facebook,148,0.193
What social platform has influenced your online shopping most?,Student Loan Debt,Yes,Instagram,258,0.337
What social platform has influenced your online shopping most?,Student Loan Debt,Yes,Snapchat,21,0.027
What social platform has influenced your online shopping most?,Student Loan Debt,Yes,Twitter,60,0.078
What social platform has influenced your online shopping most?,Student Loan Debt,Yes,None,279,0.364
What social platform has influenced your online shopping most?,Major,Comm / marketing,Facebook,37,0.308
What social platform has influenced your online shopping most?,Major,Comm / marketing,Instagram,40,0.333
What social platform has influenced your online shopping most?,Major,Comm / marketing,Snapchat,2,0.017
What social platform has influenced your online shopping most?,Major,Comm / marketing,Twitter,6,0.05
What social platform has influenced your online shopping most?,Major,Comm / marketing,None,35,0.292
What social platform has influenced your online shopping most?,Career Pursue,Undecided,Facebook,80,0.175
What social platform has influenced your online shopping most?,Career Pursue,Undecided,Instagram,150,0.329
What social platform has influenced your online shopping most?,Career Pursue,Undecided,Snapchat,15,0.033
What social platform has influenced your online shopping most?,Career Pursue,Undecided,Twitter,33,0.072
What social platform has influenced your online shopping most?,Career Pursue,Undecided,None,178,0.39
What social platform has influenced your online shopping most?,Career Pursue,Humanities,Facebook,180,0.227
What social platform has influenced your online shopping most?,Career Pursue,Humanities,Instagram,291,0.366
What social platform has influenced your online shopping most?,Career Pursue,Humanities,Snapchat,18,0.023
What social platform has influenced your online shopping most?,Career Pursue,Humanities,Twitter,47,0.059
What social platform has influenced your online shopping most?,Career Pursue,Humanities,None,258,0.325
What social platform has influenced your online shopping most?,Education Level,Other (Education Level),Facebook,3,0.158
What social platform has influenced your online shopping most?,Education Level,Other (Education Level),Instagram,6,0.316
What social platform has influenced your online shopping most?,Education Level,Other (Education Level),Snapchat,2,0.105
What social platform has influenced your online shopping most?,Education Level,Other (Education Level),Twitter,0,0.0
What social platform has influenced your online shopping most?,Education Level,Other (Education Level),None,8,0.421
What social platform has influenced your online shopping most?,Education Level,Grad School,Facebook,7,0.171
What social platform has influenced your online shopping most?,Education Level,Grad School,Instagram,13,0.317
What social platform has influenced your online shopping most?,Education Level,Grad School,Snapchat,4,0.098
What social platform has influenced your online shopping most?,Education Level,Grad School,Twitter,3,0.073
What social platform has influenced your online shopping most?,Education Level,Grad School,None,14,0.341
What social platform has influenced your online shopping most?,GPA,3.0 to 4.0,Facebook,347,0.222
What social platform has influenced your online shopping most?,GPA,3.0 to 4.0,Instagram,502,0.321
What social platform has influenced your online shopping most?,GPA,3.0 to 4.0,Snapchat,47,0.03
What social platform has influenced your online shopping most?,GPA,3.0 to 4.0,Twitter,99,0.063
What social platform has influenced your online shopping most?,GPA,3.0 to 4.0,None,571,0.365
What social platform has influenced your online shopping most?,GPA,Below 1.0,Facebook,9,0.188
What social platform has influenced your online shopping most?,GPA,Below 1.0,Instagram,15,0.313
What social platform has influenced your online shopping most?,GPA,Below 1.0,Snapchat,1,0.021
What social platform has influenced your online shopping most?,GPA,Below 1.0,Twitter,4,0.083
What social platform has influenced your online shopping most?,GPA,Below 1.0,None,19,0.396
What social platform has influenced your online shopping most?,GPA,2.0 to 3.0,Facebook,76,0.176
What social platform has influenced your online shopping most?,GPA,2.0 to 3.0,Instagram,157,0.363
What social platform has influenced your online shopping most?,GPA,2.0 to 3.0,Snapchat,10,0.023
What social platform has influenced your online shopping most?,GPA,2.0 to 3.0,Twitter,34,0.079
What social platform has influenced your online shopping most?,GPA,2.0 to 3.0,None,156,0.36
What social platform has influenced your online shopping most?,GPA,1.0 to 2.0,Facebook,1,0.03
What social platform has influenced your online shopping most?,GPA,1.0 to 2.0,Instagram,18,0.545
What social platform has influenced your online shopping most?,GPA,1.0 to 2.0,Snapchat,2,0.061
What social platform has influenced your online shopping most?,GPA,1.0 to 2.0,Twitter,4,0.121
What social platform has influenced your online shopping most?,GPA,1.0 to 2.0,None,8,0.242
What social platform has influenced your online shopping most?,Major,Languages,Facebook,9,0.29
What social platform has influenced your online shopping most?,Major,Languages,Instagram,12,0.387
What social platform has influenced your online shopping most?,Major,Languages,Snapchat,1,0.032
What social platform has influenced your online shopping most?,Major,Languages,Twitter,1,0.032
What social platform has influenced your online shopping most?,Major,Languages,None,8,0.258
What social platform has influenced your online shopping most?,Major,Visual/performing arts,Facebook,3,0.136
What social platform has influenced your online shopping most?,Major,Visual/performing arts,Instagram,11,0.5
What social platform has influenced your online shopping most?,Major,Visual/performing arts,Snapchat,0,0.0
What social platform has influenced your online shopping most?,Major,Visual/performing arts,Twitter,1,0.045
What social platform has influenced your online shopping most?,Major,Visual/performing arts,None,7,0.318
What social platform has influenced your online shopping most?,Major,History,Facebook,8,0.205
What social platform has influenced your online shopping most?,Major,History,Instagram,12,0.308
What social platform has influenced your online shopping most?,Major,History,Snapchat,2,0.051
What social platform has influenced your online shopping most?,Major,History,Twitter,0,0.0
What social platform has influenced your online shopping most?,Major,History,None,17,0.436
What social platform has influenced your online shopping most?,Major,Other (Major),Facebook,31,0.242
What social platform has influenced your online shopping most?,Major,Other (Major),Instagram,32,0.25
What social platform has influenced your online shopping most?,Major,Other (Major),Snapchat,3,0.023
What social platform has influenced your online shopping most?,Major,Other (Major),Twitter,7,0.055
What social platform has influenced your online shopping most?,Major,Other (Major),None,55,0.43
What social platform has influenced your online shopping most?,Career Pursue,Technical / engineering,Facebook,160,0.224
What social platform has influenced your online shopping most?,Career Pursue,Technical / engineering,Instagram,183,0.256
What social platform has influenced your online shopping most?,Career Pursue,Technical / engineering,Snapchat,27,0.038
What social platform has influenced your online shopping most?,Career Pursue,Technical / engineering,Twitter,40,0.056
What social platform has influenced your online shopping most?,Career Pursue,Technical / engineering,None,304,0.426
What social platform has influenced your online shopping most?,Major,Comp sci,Facebook,18,0.261
What social platform has influenced your online shopping most?,Major,Comp sci,Instagram,19,0.275
What social platform has influenced your online shopping most?,Major,Comp sci,Snapchat,1,0.014
What social platform has influenced your online shopping most?,Major,Comp sci,Twitter,3,0.043
What social platform has influenced your online shopping most?,Major,Comp sci,None,28,0.406
What social platform has influenced your online shopping most?,Education Level,Post-grad,Facebook,15,0.158
What social platform has influenced your online shopping most?,Education Level,Post-grad,Instagram,35,0.368
What social platform has influenced your online shopping most?,Education Level,Post-grad,Snapchat,1,0.011
What social platform has influenced your online shopping most?,Education Level,Post-grad,Twitter,1,0.011
What social platform has influenced your online shopping most?,Education Level,Post-grad,None,43,0.453
What social platform has influenced your online shopping most?,Major,Other (Major),Facebook,88,0.209
What social platform has influenced your online shopping most?,Major,Other (Major),Instagram,156,0.37
What social platform has influenced your online shopping most?,Major,Other (Major),Snapchat,9,0.021
What social platform has influenced your online shopping most?,Major,Other (Major),Twitter,26,0.062
What social platform has influenced your online shopping most?,Major,Other (Major),None,143,0.339
What social platform has influenced your online shopping most?,Major,Political science / philosophy,Facebook,38,0.232
What social platform has influenced your online shopping most?,Major,Political science / philosophy,Instagram,58,0.354
What social platform has influenced your online shopping most?,Major,Political science / philosophy,Snapchat,4,0.024
What social platform has influenced your online shopping most?,Major,Political science / philosophy,Twitter,8,0.049
What social platform has influenced your online shopping most?,Major,Political science / philosophy,None,56,0.341
What social platform has influenced your online shopping most?,Education Level,College,Facebook,499,0.215
What social platform has influenced your online shopping most?,Education Level,College,Instagram,781,0.336
What social platform has influenced your online shopping most?,Education Level,College,Snapchat,74,0.032
What social platform has influenced your online shopping most?,Education Level,College,Twitter,151,0.065
What social platform has influenced your online shopping most?,Education Level,College,None,820,0.353
What social platform has influenced your online shopping most?,Education Level,High School,Facebook,29,0.105
What social platform has influenced your online shopping most?,Education Level,High School,Instagram,96,0.347
What social platform has influenced your online shopping most?,Education Level,High School,Snapchat,14,0.051
What social platform has influenced your online shopping most?,Education Level,High School,Twitter,32,0.116
What social platform has influenced your online shopping most?,Education Level,High School,None,106,0.383
What social platform has influenced your online shopping most?,Graduation Year,2017,Facebook,61,0.274
What social platform has influenced your online shopping most?,Graduation Year,2017,Instagram,62,0.278
What social platform has influenced your online shopping most?,Graduation Year,2017,Snapchat,8,0.036
What social platform has influenced your online shopping most?,Graduation Year,2017,Twitter,5,0.022
What social platform has influenced your online shopping most?,Graduation Year,2017,None,87,0.39
What social platform has influenced your online shopping most?,Graduation Year,2018,Facebook,88,0.244
What social platform has influenced your online shopping most?,Graduation Year,2018,Instagram,114,0.317
What social platform has influenced your online shopping most?,Graduation Year,2018,Snapchat,12,0.033
What social platform has influenced your online shopping most?,Graduation Year,2018,Twitter,17,0.047
What social platform has influenced your online shopping most?,Graduation Year,2018,None,129,0.358
What social platform has influenced your online shopping most?,GPA,Above 4.0,Facebook,19,0.131
What social platform has influenced your online shopping most?,GPA,Above 4.0,Instagram,55,0.379
What social platform has influenced your online shopping most?,GPA,Above 4.0,Snapchat,5,0.034
What social platform has influenced your online shopping most?,GPA,Above 4.0,Twitter,10,0.069
What social platform has influenced your online shopping most?,GPA,Above 4.0,None,56,0.386
What social platform has influenced your online shopping most?,Graduation Year,2019,Facebook,221,0.262
What social platform has influenced your online shopping most?,Graduation Year,2019,Instagram,291,0.345
What social platform has influenced your online shopping most?,Graduation Year,2019,Snapchat,24,0.028
What social platform has influenced your online shopping most?,Graduation Year,2019,Twitter,46,0.055
What social platform has influenced your online shopping most?,Graduation Year,2019,None,262,0.31
What social platform has influenced your online shopping most?,Graduation Year,2020,Facebook,74,0.155
What social platform has influenced your online shopping most?,Graduation Year,2020,Instagram,150,0.314
What social platform has influenced your online shopping most?,Graduation Year,2020,Snapchat,15,0.031
What social platform has influenced your online shopping most?,Graduation Year,2020,Twitter,47,0.099
What social platform has influenced your online shopping most?,Graduation Year,2020,None,191,0.4
What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Delaware,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Delaware,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,None,1,0.333
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Instagram,1,0.25
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,None,2,0.5
What social platform has influenced your online shopping most?,University,Students of New York,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Students of New York,Instagram,21,0.467
What social platform has influenced your online shopping most?,University,Students of New York,Snapchat,1,0.022
What social platform has influenced your online shopping most?,University,Students of New York,Twitter,5,0.111
What social platform has influenced your online shopping most?,University,Students of New York,None,18,0.4
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,None,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Northeastern University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,None,1,0.5
What social platform has influenced your online shopping most?,University,West Virginia University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,None,2,1.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,None,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",None,0,0.0
What social platform has influenced your online shopping most?,University,University of Memphis,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Memphis,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Memphis,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Memphis,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Memphis,None,1,1.0
What social platform has influenced your online shopping most?,University,Auburn University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,None,4,1.0
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Facebook,1,0.143
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Instagram,2,0.286
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Twitter,1,0.143
What social platform has influenced your online shopping most?,University,Randolph-Macon College,None,3,0.429
